"ID";"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
"698";"T001235";"GM1959";"2020JJ00";"   22399";"   15357";"    6956";"    5519";"    1437";"      86"
"699";"T001235";"GM1959";"2021JJ00";"   22587";"   15536";"    7038";"    5513";"    1525";"      13"
"704";"T001235";"GM0060";"2016JJ00";"    1674";"    1103";"     474";"       0";"     474";"      97"
"705";"T001235";"GM0060";"2017JJ00";"    1686";"    1086";"     499";"       0";"     499";"     101"
"706";"T001235";"GM0060";"2018JJ00";"    1712";"    1114";"     492";"       0";"     492";"     106"
"707";"T001235";"GM0060";"2019JJ00";"    1731";"    1183";"     529";"       0";"     529";"      19"
"708";"T001235";"GM0060";"2020JJ00";"    1737";"    1177";"     536";"       0";"     536";"      24"
"709";"T001235";"GM0060";"2021JJ00";"    1753";"    1175";"     562";"       0";"     562";"      16"
"714";"T001235";"GM0307";"2016JJ00";"   65289";"   37721";"   27169";"   19816";"    7353";"     399"
"715";"T001235";"GM0307";"2017JJ00";"   66034";"   38138";"   27600";"   19710";"    7890";"     296"
"716";"T001235";"GM0307";"2018JJ00";"   66530";"   38617";"   27604";"   19593";"    8011";"     309"
"717";"T001235";"GM0307";"2019JJ00";"   67181";"   39334";"   27703";"   19873";"    7830";"     144"
"718";"T001235";"GM0307";"2020JJ00";"   67722";"   39576";"   27986";"   19890";"    8096";"     160"
"719";"T001235";"GM0307";"2021JJ00";"   68809";"   39850";"   28903";"   20253";"    8650";"      56"
"724";"T001235";"GM0362";"2016JJ00";"   43045";"   19496";"   22122";"   12412";"    9710";"    1427"
"725";"T001235";"GM0362";"2017JJ00";"   41649";"   19564";"   21087";"   12490";"    8597";"     998"
"726";"T001235";"GM0362";"2018JJ00";"   41782";"   19779";"   21032";"   12504";"    8528";"     971"
"727";"T001235";"GM0362";"2019JJ00";"   42035";"   19878";"   22100";"   12614";"    9486";"      57"
"728";"T001235";"GM0362";"2020JJ00";"   42310";"   19813";"   22385";"   12636";"    9749";"     112"
"729";"T001235";"GM0362";"2021JJ00";"   42251";"   19875";"   22320";"   12633";"    9687";"      56"
"734";"T001235";"GM0363";"2016JJ00";"  424390";"  125694";"  296082";"  184023";"  112059";"    2614"
"735";"T001235";"GM0363";"2017JJ00";"  428035";"  126841";"  298553";"  181465";"  117088";"    2641"
"736";"T001235";"GM0363";"2018JJ00";"  432715";"  128572";"  301947";"  183041";"  118906";"    2196"
"737";"T001235";"GM0363";"2019JJ00";"  441490";"  131530";"  308772";"  180166";"  128606";"    1188"
"738";"T001235";"GM0363";"2020JJ00";"  447351";"  131342";"  313602";"  178619";"  134983";"    2407"
"739";"T001235";"GM0363";"2021JJ00";"  449989";"  130782";"  317987";"  179630";"  138357";"    1220"
"744";"T001235";"GM0200";"2016JJ00";"   70615";"   41601";"   28791";"   20166";"    8625";"     223"
"745";"T001235";"GM0200";"2017JJ00";"   71050";"   41673";"   29101";"   20094";"    9007";"     276"
"746";"T001235";"GM0200";"2018JJ00";"   71526";"   42739";"   28406";"   20229";"    8177";"     381"
"747";"T001235";"GM0200";"2019JJ00";"   72445";"   43586";"   28745";"   20862";"    7883";"     114"
"748";"T001235";"GM0200";"2020JJ00";"   73244";"   44068";"   29089";"   20815";"    8274";"      87"
"749";"T001235";"GM0200";"2021JJ00";"   74184";"   44535";"   29614";"   20883";"    8731";"      35"
"754";"T001235";"GM0003";"2016JJ00";"    5881";"    2884";"    2993";"    2596";"     397";"       4"
"755";"T001235";"GM0003";"2017JJ00";"    5899";"    2892";"    3002";"    2593";"     409";"       5"
"756";"T001235";"GM0003";"2018JJ00";"    5925";"    2895";"    3007";"    2589";"     418";"      23"
"757";"T001235";"GM0003";"2019JJ00";"    6032";"    2911";"    3119";"    2607";"     512";"       2"
"758";"T001235";"GM0003";"2020JJ00";"    6042";"    2915";"    3126";"    2595";"     531";"       1"
"759";"T001235";"GM0003";"2021JJ00";"";"";"";"";"";""
